x,y,z,x_sym,y_sym,z_sym
692200,255853,100000,690475,245039,132474
692200,255853,120000,689269,245719,148019
692200,255853,160000,687739,245148,192748
692200,255853,180000,683699,244093,211276
692200,255853,200000,682228,244174,231012
692200,255853,220000,678961,243032,248844
692200,275853,60000,691575,258580,93625
692200,275853,80000,692490,260751,112212
692200,275853,120000,692697,265376,151028
692200,275853,140000,690673,265080,172407
692200,275853,160000,689132,265504,193545
692200,275853,180000,685568,264617,212336
692200,275853,200000,681582,264189,230383
692200,275853,220000,676591,261775,240768
692200,295853,140000,690753,283102,172413
692200,295853,160000,688326,282866,191637
692200,295853,180000,684247,283061,210344
692200,295853,200000,681399,283837,231713
692200,295853,220000,676515,282343,249854
692200,315853,140000,691652,300111,173852
692200,315853,160000,688784,299955,191989
692200,315853,180000,685026,300396,210642
692200,315853,200000,682351,302887,231743
692200,335853,140000,692531,317817,173025
692200,335853,160000,689821,318031,192870
692200,335853,180000,685932,318662,211409
692200,335853,200000,682816,321274,232230
692200,355853,140000,693059,336357,173570
692200,355853,160000,690405,336957,192515
692200,355853,180000,686779,335598,212076
712200,135853,120000,698802,122781,150640
712200,135853,140000,698145,123258,168512
712200,135853,160000,695766,123834,187543
712200,155853,120000,701405,142409,151125
712200,155853,140000,700339,142477,169339
712200,155853,160000,698406,143142,188754
712200,175853,140000,703324,162797,170389
712200,195853,160000,706828,182144,189207
712200,195853,180000,703315,184106,209799
712200,195853,200000,701182,186055,229371
712200,195853,220000,698362,185473,248399
712200,215853,80000,710565,199110,119036
712200,215853,100000,710668,200879,137253
712200,215853,120000,707787,203245,154810
712200,215853,160000,709949,203168,194472
712200,215853,180000,705739,203445,214353
712200,215853,200000,703584,203332,234240
712200,215853,220000,700638,202986,253460
712200,235853,80000,711428,220146,119439
712200,235853,100000,710572,222194,137459
712200,235853,120000,708270,223229,153745
712200,235853,140000,710722,223696,174417
712200,235853,160000,709869,224261,195382
712200,235853,180000,705868,223016,216449
712200,235853,200000,703812,222900,235479
712200,235853,220000,699257,222035,249361
712200,255853,120000,710341,240590,153160
712200,255853,140000,712538,243076,177737
712200,255853,160000,710538,242944,197040
712200,255853,180000,706803,243399,214178
712200,255853,200000,703781,243637,234138
712200,255853,220000,698991,242182,249377
712200,275853,120000,713874,261610,154160
712200,275853,140000,712230,263162,175651
712200,275853,160000,710226,263324,196777
712200,275853,180000,706118,263118,214247
712200,275853,200000,703106,263442,234209
712200,275853,220000,699559,263028,253829
712200,295853,100000,717423,281728,135440
712200,295853,120000,713780,281344,153051
712200,295853,140000,712366,282309,173476
712200,295853,160000,709640,282737,195308
